credit_amount,duration,installment_commitment,residence_since,age,existing_credits,num_dependents,class
1169,6,4,4,67,2,1,good
5951,48,2,2,22,1,1,bad
2096,12,2,3,49,1,2,good
7882,42,2,4,45,1,2,good
4870,24,3,4,53,2,2,bad
9055,36,2,4,35,1,2,good
2835,24,3,4,53,1,1,good
6948,36,2,2,35,1,1,good
3059,12,2,4,61,1,1,good
5234,30,4,2,28,2,1,bad
1295,12,3,1,25,1,1,bad
4308,48,3,4,24,1,1,bad
1567,12,1,1,22,1,1,good
1199,24,4,4,60,2,1,bad
1403,15,2,4,28,1,1,good
1282,24,4,2,32,1,1,bad
2424,24,4,4,53,2,1,good
8072,30,2,3,25,3,1,good
12579,24,4,2,44,1,1,bad
3430,24,3,2,31,1,2,good
2134,9,4,4,48,3,1,good
2647,6,2,3,44,1,2,good
2241,10,1,3,48,2,2,good
1804,12,3,4,44,1,1,good
2069,10,2,1,26,2,1,good
1374,6,1,2,36,1,1,good
426,6,4,4,39,1,1,good
409,12,3,3,42,2,1,good
2415,7,3,2,34,1,1,good
6836,60,3,4,63,2,1,bad
1913,18,3,3,36,1,1,good
4020,24,2,2,27,1,1,good
5866,18,2,2,30,2,1,good
1264,12,4,4,57,1,1,good
1474,12,4,1,33,1,1,good
4746,45,4,2,25,2,1,bad
6110,48,1,3,31,1,1,good
2100,18,4,2,37,1,1,bad
1225,10,2,2,37,1,1,good
458,9,4,3,24,1,1,good
2333,30,4,2,30,1,1,good
1158,12,3,1,26,1,1,good
6204,18,2,4,44,1,2,good
6187,30,1,4,24,2,1,good
6143,48,4,4,58,2,1,bad
1393,11,4,4,35,2,1,good
2299,36,4,4,39,1,1,good
1352,6,1,2,23,1,1,good
7228,11,1,4,39,2,1,good
2073,12,4,2,28,1,1,good
2333,24,4,2,29,1,1,good
5965,27,1,2,30,2,1,good
1262,12,3,2,25,1,1,good
3378,18,2,1,31,1,1,good
2225,36,4,4,57,2,1,bad
783,6,1,2,26,1,2,good
6468,12,2,1,52,1,1,bad
9566,36,2,2,31,2,1,good
1961,18,3,2,23,1,1,good
6229,36,4,4,23,2,1,bad
1391,9,2,1,27,1,1,good
1537,15,4,4,50,2,1,good
1953,36,4,4,61,1,1,bad
14421,48,2,2,25,1,1,bad
3181,24,4,4,26,1,1,good
5190,27,4,4,48,4,2,good
2171,12,2,2,29,1,1,good
1007,12,4,1,22,1,1,good
1819,36,4,4,37,1,1,bad
2394,36,4,4,25,1,1,good
8133,36,1,2,30,1,1,good
730,7,4,2,46,2,1,good
1164,8,3,4,51,2,2,good
5954,42,2,1,41,2,1,good
1977,36,4,4,40,1,1,bad
1526,12,4,4,66,2,1,good
3965,42,4,3,34,1,1,bad
4771,11,2,4,51,1,1,good
9436,54,2,2,39,1,2,good
3832,30,2,1,22,1,1,good
5943,24,1,1,44,2,1,bad
1213,15,4,3,47,1,1,good
1568,18,3,4,24,1,1,good
1755,24,4,4,58,1,1,good
2315,10,3,4,52,1,1,good
1412,12,4,2,29,2,1,good
1295,18,4,1,27,2,1,good
12612,36,1,4,47,1,2,bad
2249,18,4,3,30,1,2,good
1108,12,4,3,28,2,1,bad
618,12,4,4,56,1,1,good
1409,12,4,3,54,1,1,good
797,12,4,3,33,1,2,bad
3617,24,4,4,20,2,1,good
1318,12,4,4,54,1,1,good
15945,54,3,4,58,1,1,bad
2012,12,4,2,61,1,1,good
2622,18,4,4,34,1,1,good
2337,36,4,4,36,1,1,good
7057,20,3,4,36,2,2,good
1469,24,4,4,41,1,1,good
2323,36,4,4,24,1,1,good
932,6,3,2,24,1,1,good
1919,9,4,3,35,1,1,good
2445,12,2,4,26,1,1,good
11938,24,2,3,39,2,2,bad
6458,18,2,4,39,2,2,bad
6078,12,2,2,32,1,1,good
7721,24,1,2,30,1,1,good
1410,14,1,2,35,1,1,good
1449,6,1,2,31,2,2,good
392,15,4,4,23,1,1,good
6260,18,3,3,28,1,1,good
7855,36,4,2,25,2,1,bad
1680,12,3,1,35,1,1,good
3578,48,4,1,47,1,1,good
7174,42,4,3,30,1,1,bad
2132,10,2,3,27,2,1,good
4281,33,1,4,23,2,1,bad
2366,12,3,3,36,1,1,good
1835,21,3,2,25,2,1,bad
3868,24,4,2,41,2,1,good
1768,12,3,2,24,1,1,good
781,10,4,4,63,2,1,good
1924,18,4,3,27,1,1,bad
2121,12,4,2,30,2,1,good
701,12,4,2,40,1,1,good
639,12,4,2,30,1,1,bad
1860,12,4,2,34,2,1,good
3499,12,3,2,29,2,1,bad
8487,48,1,2,24,1,1,good
6887,36,4,3,29,1,1,bad
2708,15,2,3,27,2,1,good
1984,18,4,4,47,2,1,good
10144,60,2,4,21,1,1,good
1240,12,4,2,38,2,1,good
8613,27,2,2,27,2,1,good
766,12,4,3,66,1,1,bad
2728,15,4,2,35,3,1,good
1881,12,2,2,44,1,1,good
709,6,2,2,27,1,1,good
4795,36,4,1,30,1,1,good
3416,27,3,2,27,1,1,good
2462,18,2,2,22,1,1,bad
2288,21,4,4,23,1,1,good
3566,48,4,2,30,1,1,good
860,6,1,4,39,2,1,good
682,12,4,3,51,2,1,good
5371,36,3,2,28,2,1,good
1582,18,4,4,46,2,1,good
1346,6,2,4,42,1,2,good
1924,10,1,4,38,1,1,good
5848,36,4,1,24,1,1,good
7758,24,2,4,29,1,1,good
6967,24,4,4,36,1,1,good
1282,12,2,4,20,1,1,bad
1288,9,3,4,48,2,2,good
339,12,4,1,45,1,1,good
3512,24,2,3,38,2,1,good
1898,6,1,2,34,2,2,good
2872,24,3,4,36,1,2,good
1055,18,4,1,30,2,1,good
1262,15,4,3,36,2,1,good
7308,10,2,4,70,1,1,good
909,36,4,4,36,1,1,good
2978,6,1,2,32,1,1,good
1131,18,4,2,33,1,1,bad
1577,11,4,1,20,1,1,good
3972,24,2,4,25,1,1,good
1935,24,4,4,31,2,1,bad
950,15,4,3,33,2,2,bad
763,12,4,1,26,1,1,good
2064,24,3,2,34,1,1,bad
1414,8,4,2,33,1,1,good
3414,21,2,1,26,2,1,bad
7485,30,4,1,53,1,1,bad
2577,12,2,1,42,1,1,good
338,6,4,4,52,2,1,good
1963,12,4,2,31,2,2,good
571,21,4,4,65,2,1,good
9572,36,1,1,28,2,1,bad
4455,36,2,2,30,2,1,bad
1647,21,4,2,40,2,2,bad
3777,24,4,4,50,1,1,good
884,18,4,4,36,1,2,bad
1360,15,4,2,31,2,1,good
5129,9,2,4,74,1,2,bad
1175,16,2,3,68,3,1,good
674,12,4,1,20,1,1,bad
3244,18,1,4,33,2,1,good
4591,24,2,3,54,3,1,bad
3844,48,4,4,34,1,2,bad
3915,27,4,2,36,1,2,bad
2108,6,2,2,29,1,1,good
3031,45,4,4,21,1,1,bad
1501,9,2,3,34,2,1,bad
1382,6,1,1,28,2,1,good
951,12,4,4,27,4,1,bad
2760,24,4,4,36,1,1,good
4297,18,4,3,40,1,1,bad
936,9,4,2,52,2,1,good
1168,12,4,3,27,1,1,good
5117,27,3,4,26,2,1,good
902,12,4,4,21,1,1,bad
1495,12,4,1,38,2,2,good
10623,30,3,4,38,3,2,good
1935,12,4,4,43,3,1,good
1424,12,4,3,26,1,1,good
6568,24,2,2,21,1,1,good
1413,12,3,2,55,1,1,good
3074,9,1,2,33,2,2,good
3835,36,2,4,45,1,1,good
5293,27,2,4,50,2,1,bad
1908,30,4,4,66,1,1,bad
3342,36,4,2,51,1,1,good
932,6,1,3,39,2,1,good
3104,18,3,1,31,1,1,good
3913,36,2,2,23,1,1,good
3021,24,2,2,24,1,1,good
1364,10,2,4,64,1,1,good
625,12,4,1,26,1,1,good
1200,12,4,4,23,1,1,good
707,12,4,2,30,2,1,good
2978,24,4,4,32,2,2,good
4657,15,3,2,30,1,1,good
2613,36,4,2,27,2,1,good
10961,48,1,2,27,2,1,bad
7865,12,4,4,53,1,1,bad
1478,9,4,2,22,1,1,bad
3149,24,4,1,22,1,1,good
4210,36,4,2,26,1,1,bad
2507,9,2,4,51,1,1,good
2141,12,3,1,35,1,1,good
866,18,4,2,25,1,1,good
1544,4,2,1,42,3,2,good
1823,24,4,2,30,1,2,bad
14555,6,1,2,23,1,1,bad
2767,21,4,2,61,2,1,bad
1291,12,4,2,35,2,1,good
2522,30,1,3,39,1,2,good
915,24,4,2,29,1,1,bad
1595,6,3,2,51,1,2,good
4605,48,3,4,24,2,2,bad
1185,12,3,2,27,2,1,good
3447,12,4,3,35,1,2,good
1258,24,4,1,25,1,1,good
717,12,4,4,52,3,1,good
1204,6,4,1,35,1,1,good
1925,24,2,2,26,1,1,good
433,18,3,4,22,1,1,bad
666,6,3,4,39,2,1,good
2251,12,1,2,46,1,1,good
2150,30,4,2,24,1,1,bad
4151,24,2,3,35,2,1,good
2030,9,2,1,24,1,1,good
7418,60,1,1,27,1,1,good
2684,24,4,2,35,2,1,good
2149,12,4,1,29,1,1,bad
3812,15,1,4,23,1,1,good
1154,11,4,4,57,3,1,good
1657,12,2,2,27,1,1,good
1603,24,4,4,55,1,1,good
5302,18,2,4,36,3,1,good
2748,12,2,4,57,3,1,good
1231,10,3,4,32,2,2,good
802,15,4,3,37,1,2,bad
6304,36,4,4,36,2,1,good
1533,24,4,3,38,1,1,good
8978,14,1,4,45,1,1,bad
999,24,4,2,25,2,1,good
2662,18,4,3,32,1,1,good
1402,12,3,4,37,1,1,good
12169,48,4,4,36,1,1,good
3060,48,4,4,28,2,1,bad
11998,30,1,1,34,1,1,bad
2697,9,1,2,32,1,2,good
2404,18,2,2,26,2,1,good
1262,12,2,4,49,1,1,good
4611,6,1,4,32,1,1,bad
1901,24,4,4,29,1,1,good
3368,15,3,4,23,2,1,good
1574,12,4,2,50,1,1,good
1445,18,4,4,49,1,1,good
1520,15,4,4,63,1,1,good
3878,24,4,2,37,1,1,good
10722,47,1,1,35,1,1,good
4788,48,4,3,26,1,2,good
7582,48,2,4,31,1,1,good
1092,12,4,4,49,2,1,good
1024,24,4,4,48,1,1,bad
1076,12,2,2,26,1,1,good
9398,36,1,4,28,1,1,bad
6419,24,2,4,44,2,2,good
4796,42,4,4,56,1,1,good
7629,48,4,2,46,2,2,good
9960,48,1,2,26,1,1,bad
4675,12,1,4,20,1,1,good
1287,10,4,2,45,1,1,good
2515,18,3,4,43,1,1,good
2745,21,3,2,32,2,1,good
672,6,1,4,54,1,1,good
3804,36,4,1,42,1,1,bad
1344,24,4,2,37,2,2,bad
1038,10,4,3,49,2,1,good
10127,48,2,2,44,1,1,bad
1543,6,4,2,33,1,1,good
4811,30,2,4,24,1,1,good
727,12,4,3,33,1,1,bad
1237,8,3,4,24,1,1,bad
276,9,4,4,22,1,1,good
5381,48,3,4,40,1,1,good
5511,24,4,1,25,1,1,good
3749,24,2,4,26,1,1,good
685,12,2,3,25,1,1,bad
1494,4,1,2,29,1,2,good
2746,36,4,4,31,1,1,bad
708,12,2,3,38,1,2,good
4351,24,1,4,48,1,1,good
701,12,4,2,32,2,1,good
3643,15,1,4,27,2,1,good
4249,30,4,2,28,2,1,bad
1938,24,4,3,32,1,1,bad
2910,24,2,1,34,1,1,good
2659,18,4,2,28,1,1,good
1028,18,4,3,36,2,1,good
3398,8,1,4,39,2,1,good
5801,12,2,4,49,1,1,good
1525,24,4,3,34,1,2,good
4473,36,4,2,31,1,1,good
1068,6,4,4,28,1,2,good
6615,24,2,4,75,2,1,good
1864,18,4,2,30,2,1,bad
7408,60,4,2,24,1,1,bad
11590,48,2,4,24,2,1,bad
4110,24,3,4,23,2,2,bad
3384,6,1,4,44,1,1,bad
2101,13,2,4,23,1,1,good
1275,15,4,2,24,1,1,bad
4169,24,4,4,28,1,1,good
1521,10,4,2,31,1,1,good
5743,24,2,4,24,2,1,good
3599,21,1,4,26,1,1,good
3213,18,1,3,25,1,1,good
4439,18,1,1,33,1,1,good
3949,10,1,1,37,1,2,good
1459,15,4,2,43,1,1,good
882,13,4,4,23,2,1,good
3758,24,1,4,23,1,1,good
1743,6,1,2,34,2,1,good
1136,9,4,3,32,2,2,bad
1236,9,1,4,23,1,1,good
959,9,1,2,29,1,1,bad
3229,18,2,4,38,1,1,good
6199,12,4,2,28,2,1,bad
727,10,4,4,46,1,1,good
1246,24,4,2,23,1,1,bad
2331,12,1,4,49,1,1,good
4463,36,4,2,26,2,1,bad
776,12,4,2,28,1,1,good
2406,30,4,4,23,1,1,bad
1239,18,4,4,61,1,1,good
3399,12,2,3,37,1,1,good
2247,12,2,2,36,2,1,good
1766,6,1,2,21,1,1,good
2473,18,4,1,25,1,1,bad
1542,12,2,4,36,1,1,good
3850,18,3,1,27,2,1,good
3650,18,1,4,22,1,1,good
3446,36,4,2,42,1,2,bad
3001,18,2,4,40,1,1,good
3079,36,4,4,36,1,1,good
6070,18,3,4,33,2,1,good
2146,10,1,3,23,2,1,good
13756,60,2,4,63,1,1,good
14782,60,3,4,60,2,1,bad
7685,48,2,4,37,1,1,bad
2320,18,2,3,34,2,1,good
846,7,3,4,36,1,1,good
14318,36,4,2,57,1,1,bad
362,6,4,4,52,2,1,good
2212,20,4,4,39,1,1,good
12976,18,3,4,38,1,1,bad
1283,22,4,4,25,1,1,good
1330,12,4,1,26,1,1,good
4272,30,2,2,26,2,1,good
2238,18,2,1,25,2,1,good
1126,18,4,2,21,1,1,good
7374,18,4,4,40,2,1,good
2326,15,2,4,27,1,1,good
1449,9,3,2,27,2,1,good
1820,18,2,2,30,1,1,good
983,12,1,4,19,1,1,good
3249,36,2,4,39,1,2,good
1957,6,1,4,31,1,1,good
2406,9,2,3,31,1,1,good
11760,39,2,3,32,1,1,good
2578,12,3,4,55,1,1,good
2348,36,3,2,46,2,1,good
1223,12,1,1,46,2,1,bad
1516,24,4,1,43,2,1,good
1473,18,3,4,39,1,1,good
1887,18,4,4,28,2,1,good
8648,24,2,2,27,2,1,bad
802,14,4,2,27,2,1,good
2899,18,4,4,43,1,2,good
2039,24,1,1,22,1,1,bad
2197,24,4,4,43,2,2,good
1053,15,4,2,27,1,1,good
3235,24,3,2,26,1,1,good
939,12,4,2,28,3,1,bad
1967,24,4,4,20,1,1,good
7253,33,3,2,35,2,1,good
2292,12,4,2,42,2,1,bad
1597,10,3,2,40,1,2,good
1381,24,4,2,35,1,1,bad
5842,36,2,2,35,2,2,good
2579,12,4,1,33,1,2,bad
8471,18,1,2,23,2,1,good
2782,21,1,2,31,1,1,good
1042,18,4,2,33,1,1,bad
3186,15,2,3,20,1,1,good
2028,12,4,2,30,1,1,good
958,12,2,3,47,2,2,good
1591,21,4,3,34,2,1,good
